HT_AT_DATE,DATE,HT,AT,HT_RD,AT_RD,HT_ELO,AT_ELO,HT_HPG,AT_HPG,HT_PREV_SC,AT_PREV_SC,HT_WL_RATIO,AT_WL_RATIO,HT_AVG_SC,AT_AVG_SC,HT_SC,AT_SC
DET_CLE_2021-04-04,2021-04-04,22,15,4.0,-4.0,1454.41199364091,1509.190456232,7.5,6.5,5.0,2.0,2.0,0.0,4.0,2.0,3.0,9.0
NYY_TOR_2021-04-04,2021-04-04,30,9,1.0,-1.0,1540.32719204807,1499.69636306811,8.5,8.0,5.0,3.0,1.0,1.0,3.5,3.0,1.0,3.0
PHI_ATL_2021-04-04,2021-04-04,19,26,5.0,-5.0,1504.02492250863,1533.16488700829,8.5,4.0,4.0,0.0,2.0,0.0,3.5,1.0,2.0,1.0
SD_ARI_2021-04-04,2021-04-04,10,4,1.0,-1.0,1519.53839953371,1493.33336959296,8.333333333333334,8.666666666666666,1.0,3.0,2.0,0.5,4.333333333333333,4.0,7.0,0.0
COL_LAD_2021-04-04,2021-04-04,6,29,-4.0,4.0,1478.07119380725,1575.58305363939,7.666666666666667,11.666666666666666,2.0,4.0,0.5,2.0,5.333333333333333,6.666666666666667,5.0,6.0
CIN_STL_2021-04-04,2021-04-04,21,28,-2.0,2.0,1498.1259547755,1513.58912713891,10.5,8.5,9.0,6.0,1.0,1.0,7.5,8.5,12.0,1.0
CHC_MIL_2021-04-05,2021-04-05,25,2,3.0,-7.0,1511.39755127451,1498.53010691678,4.0,5.666666666666667,4.0,2.0,2.0,0.5,4.0,2.6666666666666665,5.0,3.0
BOS_TB_2021-04-05,2021-04-05,23,8,-13.0,0.0,1491.28308610571,1542.37783246441,5.0,0.0,3.0,0.0,0.0,0.0,1.6666666666666667,4.34,11.0,2.0
PHI_NYM_2021-04-05,2021-04-05,19,14,6.0,0.0,1505.44179066197,1504.80043717901,8.333333333333334,0.0,2.0,0.0,3.0,0.0,3.0,4.34,5.0,3.0
CIN_PIT_2021-04-05,2021-04-05,21,20,9.0,-3.0,1502.76907826657,1466.09407894564,10.0,7.333333333333333,12.0,3.0,2.0,0.5,9.0,3.0,5.0,3.0
NYY_BAL_2021-04-05,2021-04-05,30,18,-1.0,13.0,1538.13197573136,1488.02842920568,7.333333333333333,11.333333333333334,1.0,11.0,0.5,3.0,2.6666666666666665,6.0,7.0,0.0
CLE_KC_2021-04-05,2021-04-05,15,12,2.0,7.0,1512.051565698,1478.00977513871,7.666666666666667,12.0,9.0,3.0,0.5,2.0,4.333333333333333,9.333333333333334,0.0,3.0
TEX_TOR_2021-04-05,2021-04-05,11,9,-7.0,1.0,1472.00623978651,1501.89157938482,9.666666666666666,7.0,7.0,3.0,0.5,2.0,7.0,3.0,2.0,6.0
DET_MIN_2021-04-05,2021-04-05,22,17,-2.0,7.0,1451.55088417491,1526.81731066361,5.666666666666667,8.333333333333334,3.0,8.0,2.0,2.0,3.6666666666666665,5.0,6.0,15.0
MIA_STL_2021-04-05,2021-04-05,7,28,0.0,-9.0,1484.71456010472,1508.94600364784,0.0,7.333333333333333,0.0,1.0,0.0,0.5,4.34,6.0,1.0,4.0
BOS_TB_2021-04-06,2021-04-06,23,8,-4.0,-9.0,1495.84685084462,1537.8140677255,7.75,7.0,11.0,2.0,0.3333333333333333,0.0,4.0,2.0,6.0,5.0
PHI_NYM_2021-04-06,2021-04-06,19,14,8.0,-2.0,1507.11454345195,1503.12768438903,8.0,10.0,5.0,3.0,4.0,0.0,3.5,3.0,4.0,8.0
CIN_PIT_2021-04-06,2021-04-06,21,20,11.0,-5.0,1504.19536991924,1464.66778729297,9.5,6.75,5.0,3.0,3.0,0.3333333333333333,8.0,3.0,14.0,1.0
MIA_STL_2021-04-06,2021-04-06,7,28,-3.0,-6.0,1482.43565195624,1511.22491179632,5.0,6.75,1.0,4.0,0.0,1.0,1.0,5.5,2.0,4.0
LAA_HOU_2021-04-06,2021-04-06,5,13,0.0,26.0,1492.52300796572,1547.63244360397,0.0,11.75,0.0,9.0,0.0,4.0,4.34,8.75,2.0,4.0
CHC_MIL_2021-04-06,2021-04-06,25,2,5.0,-9.0,1512.99559855254,1496.93205963875,4.25,5.25,5.0,3.0,3.0,0.3333333333333333,4.25,2.75,0.0,4.0
DET_MIN_2021-04-06,2021-04-06,22,17,-11.0,16.0,1448.16267223689,1530.20552260163,6.25,9.75,6.0,15.0,1.0,3.0,4.25,7.5,4.0,3.0
WSH_ATL_2021-04-06,2021-04-06,3,26,0.0,-6.0,1521.28599336358,1531.74801885495,0.0,4.0,0.0,1.0,0.0,0.0,4.34,1.0,6.0,5.0
LAA_HOU_2021-04-06,2021-04-06,5,13,-2.0,28.0,1492.52300796572,1547.63244360397,7.0,10.8,2.0,4.0,0.0,5.0,2.0,7.8,7.0,6.0
NYY_BAL_2021-04-06,2021-04-06,30,18,6.0,6.0,1540.75912445679,1485.40128048025,7.25,9.5,7.0,0.0,1.0,3.0,3.75,4.5,7.0,2.0
SEA_CWS_2021-04-06,2021-04-06,1,16,-2.0,0.0,1486.24887622142,1506.35518803559,5.5,0.0,3.0,0.0,1.0,0.0,5.5,4.34,0.0,6.0
OAK_LAD_2021-04-06,2021-04-06,24,29,-26.0,5.0,1510.0688443384,1579.88311950372,5.25,11.75,2.0,6.0,0.0,3.0,2.25,6.5,3.0,10.0
NYY_BAL_2021-04-07,2021-04-07,30,18,11.0,1.0,1542.84849477456,1483.31191016248,8.0,9.0,7.0,2.0,1.5,1.5,4.4,4.0,3.0,4.0
MIA_STL_2021-04-07,2021-04-07,7,28,-5.0,-4.0,1480.58606068843,1513.07450306413,6.0,6.6,2.0,4.0,0.0,1.5,1.5,5.2,0.0,7.0
SEA_CWS_2021-04-07,2021-04-07,1,16,-8.0,6.0,1482.87982327656,1509.72424098045,4.666666666666667,10.0,0.0,6.0,0.5,1.0,3.6666666666666665,6.0,8.0,4.0
