LEAGUE,SHORTNAME,ARCHIVING STATUS,SEASON/YEAR,START,END
American Major League Soccer,MLS,Active,2024,2024-02-21,2024-12-08
MLB,MLB,Active,2024,2024-03-20,2024-11-01
NFL,NFL,Active,2024-25,2024-09-05,2025-02-10
English Premier League,EPL,Inactive,2024-25,2024-08-17,2025-05-25
NBA,NBA,Inactive,2024-25,2024-10-22,2025-04-13
